2026-06-16 15:21:29.759 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 25952 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-16 15:21:29.766 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-16 15:21:29.863 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 15:21:29.863 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 15:21:30.601 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-16 15:21:30.604 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-16 15:21:30.631 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-06-16 15:21:31.807 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-16 15:21:31.824 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-16 15:21:31.828 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 15:21:31.828 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-16 15:21:32.042 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 15:21:32.043 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2179 ms
2026-06-16 15:21:33.326 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-16 15:21:39.364 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-16 15:21:51.464 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-16 15:21:51.597 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-16 15:21:51.676 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-16 15:21:51.709 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 22.521 seconds (JVM running for 22.985)
2026-06-16 15:23:03.673 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 15:23:03.674 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 15:23:03.678 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-06-16 15:24:03.796 [http-nio-8080-exec-50] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-16 15:25:31.568 [http-nio-8080-exec-77] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
