2026-06-29 15:55:48.312 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 18632 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-29 15:55:48.319 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-29 15:55:48.419 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-29 15:55:48.420 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-29 15:55:49.258 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-29 15:55:49.262 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-29 15:55:49.315 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2026-06-29 15:55:50.319 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-29 15:55:50.328 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-29 15:55:50.330 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-29 15:55:50.330 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-29 15:55:50.434 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-29 15:55:50.435 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2015 ms
2026-06-29 15:55:50.987 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-29 15:55:52.742 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-29 15:55:56.157 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-29 15:55:56.190 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-29 15:55:56.226 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-29 15:55:56.239 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 8.582 seconds (JVM running for 9.217)
2026-06-29 15:56:23.863 [http-nio-8080-exec-4] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-29 15:56:23.864 [http-nio-8080-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-29 15:56:23.868 [http-nio-8080-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-06-29 15:56:32.934 [http-nio-8080-exec-12] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 15:56:32.934 [http-nio-8080-exec-11] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 15:56:32.934 [http-nio-8080-exec-9] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 15:56:32.936 [http-nio-8080-exec-12] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 15:56:32.938 [http-nio-8080-exec-9] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 15:56:32.938 [http-nio-8080-exec-11] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 15:56:32.942 [http-nio-8080-exec-12] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 15:56:32.942 [http-nio-8080-exec-9] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 15:56:32.942 [http-nio-8080-exec-11] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 15:56:33.185 [http-nio-8080-exec-12] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 15:56:33.202 [http-nio-8080-exec-9] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 15:56:33.204 [http-nio-8080-exec-11] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 16:03:59.998 [http-nio-8080-exec-27] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=北京省, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 16:03:59.998 [http-nio-8080-exec-28] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=北京省, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 16:04:00.000 [http-nio-8080-exec-28] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：北京省
2026-06-29 16:03:59.999 [http-nio-8080-exec-27] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：北京省
2026-06-29 16:04:00.002 [http-nio-8080-exec-27] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：北京省
2026-06-29 16:04:00.002 [http-nio-8080-exec-28] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：北京省
2026-06-29 16:04:00.016 [http-nio-8080-exec-28] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 16:04:00.016 [http-nio-8080-exec-27] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 16:04:00.091 [http-nio-8080-exec-27] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 16:04:00.101 [http-nio-8080-exec-28] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：16
2026-06-29 16:04:14.305 [http-nio-8080-exec-31] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=甘肃, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 16:04:14.307 [http-nio-8080-exec-30] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=甘肃, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 16:04:14.307 [http-nio-8080-exec-30] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：甘肃
2026-06-29 16:04:14.307 [http-nio-8080-exec-31] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：甘肃
2026-06-29 16:04:14.307 [http-nio-8080-exec-31] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：甘肃
2026-06-29 16:04:14.307 [http-nio-8080-exec-30] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：甘肃
2026-06-29 16:04:14.307 [http-nio-8080-exec-30] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 16:04:14.307 [http-nio-8080-exec-31] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 16:04:14.330 [http-nio-8080-exec-30] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：2
2026-06-29 16:04:14.330 [http-nio-8080-exec-31] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：2
2026-06-29 16:06:40.755 [http-nio-8080-exec-41] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-29 16:07:44.484 [http-nio-8080-exec-53] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-29 16:07:44.511 [http-nio-8080-exec-53] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-29 16:36:34.871 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-06-29 16:36:34.877 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2026-06-29 17:49:40.019 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 9524 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-29 17:49:40.021 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-29 17:49:40.119 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-29 17:49:40.119 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-29 17:49:40.984 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-29 17:49:40.988 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-29 17:49:41.046 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 37 ms. Found 0 Redis repository interfaces.
2026-06-29 17:49:41.941 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-29 17:49:41.950 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-29 17:49:41.953 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-29 17:49:41.953 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-29 17:49:42.032 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-29 17:49:42.032 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1912 ms
2026-06-29 17:49:42.479 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-29 17:49:43.897 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-29 17:49:46.972 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-29 17:49:46.996 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-29 17:49:47.024 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-29 17:49:47.037 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 7.651 seconds (JVM running for 8.232)
2026-06-29 17:50:49.514 [http-nio-8080-exec-4] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-29 17:50:49.514 [http-nio-8080-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-29 17:50:49.516 [http-nio-8080-exec-4] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-06-29 17:52:10.277 [http-nio-8080-exec-42] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:10.277 [http-nio-8080-exec-41] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:10.281 [http-nio-8080-exec-42] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 17:52:10.281 [http-nio-8080-exec-41] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 17:52:10.282 [http-nio-8080-exec-42] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:10.282 [http-nio-8080-exec-41] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:10.301 [http-nio-8080-exec-41] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 17:52:10.316 [http-nio-8080-exec-42] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 17:52:36.311 [http-nio-8080-exec-44] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:36.312 [http-nio-8080-exec-45] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:36.313 [http-nio-8080-exec-44] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 17:52:36.313 [http-nio-8080-exec-45] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 17:52:36.313 [http-nio-8080-exec-45] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:36.314 [http-nio-8080-exec-44] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:36.335 [http-nio-8080-exec-44] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 17:52:36.336 [http-nio-8080-exec-45] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
2026-06-29 17:52:36.463 [http-nio-8080-exec-47] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=南昌, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:36.463 [http-nio-8080-exec-47] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：南昌
2026-06-29 17:52:36.466 [http-nio-8080-exec-47] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：南昌
2026-06-29 17:52:36.477 [http-nio-8080-exec-47] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 17:52:36.477 [http-nio-8080-exec-48] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=南昌, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:36.478 [http-nio-8080-exec-48] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：南昌
2026-06-29 17:52:36.478 [http-nio-8080-exec-48] INFO  c.p.t.c.attractions.SysAttractionsController - 应用地区筛选：南昌
2026-06-29 17:52:36.478 [http-nio-8080-exec-48] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1} AND location LIKE #{ew.paramNameValuePairs.MPGENVAL2}) ORDER BY create_time DESC
2026-06-29 17:52:36.492 [http-nio-8080-exec-48] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：0
2026-06-29 17:52:36.492 [http-nio-8080-exec-47] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：0
2026-06-29 17:52:40.539 [http-nio-8080-exec-51] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=null, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=null, location=null, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=100)
2026-06-29 17:52:40.539 [http-nio-8080-exec-51] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：null
2026-06-29 17:52:40.539 [http-nio-8080-exec-50] INFO  c.p.t.c.attractions.SysAttractionsController - 查询景点参数：SysAttractions(id=null, name=, price=null, introduce=null, content=null, num=null, realName=null, images=null, scenicType=, location=, pv=null, open=null, time=null, state=1, createBy=null, createTime=null, updateBy=null, updateTime=null, pageNumber=1, pageSize=9)
2026-06-29 17:52:40.539 [http-nio-8080-exec-50] INFO  c.p.t.c.attractions.SysAttractionsController - location 参数值：
2026-06-29 17:52:40.539 [http-nio-8080-exec-51] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:40.541 [http-nio-8080-exec-50] INFO  c.p.t.c.attractions.SysAttractionsController - 最终查询条件 SQL：(state = #{ew.paramNameValuePairs.MPGENVAL1}) ORDER BY create_time DESC
2026-06-29 17:52:40.556 [http-nio-8080-exec-50] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：9
2026-06-29 17:52:40.562 [http-nio-8080-exec-51] INFO  c.p.t.c.attractions.SysAttractionsController - 查询结果数量：24
